subject,course_number,name,description
ACTSC,489,"Advanced Topics in Actuarial Science","Advanced topics course as announced by the department. Topics and term offerings will vary."
ACTSC,611,"Financial Mathematics I","Time value of money; simple and compound interest and discount; real returns; equations of value; loan schedules; valuation of fixed coupon bonds; valuation of real return bonds; term structure of interest rates; no arbitrage pricing; valuation of forward contracts; valuation of interest rate swaps. Duration and Immunization"
ACTSC,612,"Life Insurance Mathematics I","Models for future lifetime; insurance and annuity functions; life tables and their use; future loss random variable for a contract; calculations of premiums and reserves; standard international actuarial notation."
ACTSC,613,"Statistics for Actuarial Science","Discrete and continuous random variables; generating functions; dependence; maximum likelihood estimation, functions of random variables; confidence intervals, hypothesis tests; Bayesian estimation, simple linear regression."
ACTSC,614,"Corporate Finance and Accounting","Principles of financial accounting; construction and analysis of accounts. Sustainability reporting. Financial planning; capital budgeting, assessment of capital projects; long term financing; short term finance and planning"
ACTSC,615,Economics,"Micro: Supply and demand; utility theory and risk aversion; production choices; competition; Macro: Fiscal and monetary policy; exchange rates; factors affecting inflation, unemployment, exchange rates and economic growth; introductory game theory; introduction to insurance economics."
ACTSC,621,"Financial Mathematics II","Mean-Variance portfolio theory; utility based portfolio theory; Capital-Asset Pricing Method, Arbitrage Pricing Theory, Efficient Markets Hypotheses; Capital structure and dividend policy; introduction to options with applications in corporate finance. Behavioural finance."
ACTSC,622,"Life Insurance Mathematics II","Multiple state models; premiums and reserves for stat dependent policies, including joint life and last survivor benefits; cashflow projection methods; post retirement benefits: valuation and funding. Estimation and inference for survival models. Introduction to longevity models."
ACTSC,623,"Applied Statistics","Generalized linear models: multiple linear regression and normal linear model; exponential family; link functions; linear predicators; estimation; testing. Time series: Univariate ARIMA; multivariate AR; ARCH and other non-linear models."
ACTSC,624,"Stochastic Processes for Actuarial Science","Counting processes; Markov processes and Kolmogorov equations; Brownian motion and geometric Brownian motion; Ito's lemma Monte Carlo simulation."
ACTSC,625,"Casualty and Health Insurance Mathematics","Frequency and severity models; compound distributions, calculation of moments and probabilities using recursion; Bayesian estimation and credibility; claims reserving for non-life insurance using run-off triangle methods, introductory ruin theory."
ACTSC,631,"Financial Mathematics III","Binomial and lattice models for option pricing. Black-Scholes option pricing. Hedging option greeks. Exotic options. Term structure models including Vasicek, Cox-Ingersoll-Ross, Hull-White, Black-Derman-Toy. Interest rate options."
ACTSC,632,"Data Science with Actuarial Applications","This course provides a comprehensive treatment of various techniques from statistics, predictive analytics and machine learning that can be used to analyze data sets relevant for actuarial applications. Specific topics covered include: modeling principles and practice, analysis and estimation of survival models, insurance pricing using generalized linear models, classification and tree-based methods."
ACTSC,633,"Actuarial Risk Management","This course considers actuarial risk management in the context of practical applications in life and non-life insurance, and in pensions. Topics covered include the role of the actuary; methods for pricing and reserving in life and non-life insurance; regulatory capital; risk transfer through reinsurance or securitization; product development; model risk and governance; pension risk management; embedded options in life insurance."
ACTSC,634,"Quantitative Risk Management","This course combines enterprise and quantitative risk management to provide a comprehensive coverage of risk management science with applications in finance, insurance and corporate governance. Topics covered include: risk taxonomy; risk measures; extreme value theory; copulas; stress and scenario testing; interest rate risk management, credit risk management; regulation, including Basel, Basel 3 and Solvency 2; risk adjusted return; capital allocation."
ACTSC,635,"Profession Communications in Actuarial Science","Elements of writing. Written project on an advanced topic, with a communications focus. Presentations: preparation and delivery."
ACTSC,845,"Quantitative Enterprise Risk Management","This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced, and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks.  Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation and regulation of financial institutions."
ACTSC,846,"Mathematics of Financial Markets","This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad ares: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; fundamental theorems of asset pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Ito's lemma; Black-Scholes model; interest rate models and bond pricing)."
ACTSC,854,"Longevity and Mortality Using Predictive Analytics","Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd."
ACTSC,855,"Life Contingencies 3","Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits."
ACTSC,870,"Short Course in Actuarial Science",
ACTSC,895,"Communications in Actuarial Science","This course is designed to develop students' oral and written communication skills, using examples from actuarial risk management.  It includes elements of writing, and also reading and summarizing leading edge work in actuarial theory and practice.  Presentations and collaborative work are used to develop essential communication skills in both academic and professional contexts."
ACTSC,900,"PhD Research Skills","This course acts as a capstone on the coursework based part of the PhD program and as a stepping stone to the PhD proposal and to research. It is aimed at developing research skills: critically reading published research, summarizing and synthesizing areas of research, writing and orally presenting summaries of research problems, data sets and theoretical and applied results. The course is designed to be integrative across core areas of the student discipline."
ACTSC,961,"Mathematical Methods of Loss Reserving","Macro methods of runoff analysis: chain-ladder, least squares, separation, payment per claim incurred. Stochastic methods: Reid's method, see-saw, payment per unit of risk, autoregressive models, Kalman filter."
ACTSC,962,"Insurance Risk Models","This course presents advanced mathematical and computational tools useful to study loss frequency and severity models, and also aggregate claims models.  Analytic and recursive evaluation of compound distributions are discussed, as well as generalized linear models for frequency and severity models.  Other topics covered include pricing and insurance risk processes."
ACTSC,963,"Insurance Surplus Mathematics","The analysis of the development over time of the surplus on a portfolio of insurance business is considered.  The classical Poisson and Sparre Andersen risk models are studied.  Unified treatment of moments and distributions of quantities related to the event of ruin is done through a discounted penalty function approach.  Random variables of interest include the time of ruin itself, the deficit immediately after ruin occurs, and the surplus immediately prior to ruin.  Defective renewal equations and Laplace transforms are utilized extensively.  Prerequisites are familiarity with aggregate loss models at the level of ActSc 431/831 or equivalent."
ACTSC,964,"Topics in Quantitative Risk Management","Fundamental concepts in quantitative risk management. Topics typically include: risk measures, extreme value theory, multivariate distributions and copulas. This course has a focus on mathematical and statistical techniques. Other topics may be covered at the discretion of the instructor."
ACTSC,965,"Extreme Value Theory","Ruin Theory for heavy-tailed distributions. Fluctuation of maxima and upper order statistics. Extreme value distributions: Weibull, Frechet, Gumbel and generalized Pareto. Mean excess function. Statistical methods for external events. Estimation of parameters of extreme value and excess distributions. Applications in finance and insurance."
ACTSC,966,"Aggregate Claims Models","Mixed Poisson and nonhomogeneous birth processes for claim counts; analytic, recursive, asymptotic and approximate evaluation of compound distributions for aggregate claims; reliability concepts and analysis of stop-loss moments; applications for inflation, incurred but not reported claims, and infinite server queues.  Prerequisites are familiarity with aggregate loss models at the level of ActSc 431/831 or equivalent."
ACTSC,970,"Finance 1","The course introduces options and other derivative securities in different asset classes. The main focus is on methods of pricing in a multi-period setting, but continuous-time models are also discussed. Topics may include no-arbitrage pricing theory, the fundamental theory of asset pricing, complete and incomplete markets,and pricing of complex financial instruments."
ACTSC,971,"Finance 2","The course discusses methods and tools for modeling of financial derivatives in the continuous-time setting. Both theory and practical applications are discussed. The first part covers methods of pricing and hedging of derivatives under different assumptions about the dynamics of the underlying economic factors. Topics normally include currency derivatives, American and exotic options, futures contracts, stochastic volatility models and mean-variance hedging. The second part deals with modeling and pricing of interest-rate products. Topics may include short interest rate models, the Heath-Jarrow-Morton Framework, and Libor and swap market models."
ACTSC,972,"Finance 3","The course will cover selected and advanced topics in quantitative finance and risk management, with a particular focus on current developments. Topics may include robust and Bayesian portfolio optimization, limits to arbitrage, derivatives pricing under model uncertainty, credit risk models, and models of systematic risk."
ACTSC,973,"Portfolio Optimization","Basic optimization: quadratic minimization subject to leanear equality constraints. Effecient portfolios: the efficient frontier, the capital market line, Sharpe ratios and threshold returns. Practical portfolio optimization: short sales restrictions target portfolios, transactions costs. Quadratic programming theory. Special purpose quadratic programming algorithms for portfolio optimization: today's large investment firms expect to solve problems with at least 1000 assets, transactions costs and various side constraints in just a few minutes of computation time. This requires very specialized QP algorithms. An overview of such algorithms will be presented with computational results from commercial problems. The efficient frontier, the capital market line, Sharpe ratios and threshold returns in practice."
ACTSC,974,"Financial Econometrics","The focus of this course is on the statistical modelling, estimation and inference and forecasting of nonlinear financial time series, with a special emphasis on volatility and correlation of asset prices and returns.  Topics to be covered normally include: review on distribution and dynamic behaviour of financial time series, univariate and multivariate GARCH processes, long-memory time-series processes, stochastic volatility models, modelling of extreme values, copulas, realized volatility and correlation modelling for ultra high frequency data and continuous time models."
ACTSC,991,"Topics in Actuarial Science",
AE,100,"Concepts Studio","An introduction to the fundamental engineering methods, principles and skills, design and communication in architectural engineering. Techniques in analytical sketching, orthographic drawing, construction documentation, problem definition, and scaled model building will underlie the collaborative development of (a) small-scale design project(s). Students will become familiar with the language and anatomy of buildings, the studio environment and culture of peer evaluation and juried work critique, and the fundamental conventions of design. Introduction to report writing, documentation, and fundamental two-dimensional computer-aided design (2D CAD) software and tools. [Offered: F]"
AE,101,"History of the Built Environment","A complementary studies course that provides a broad history of technology as it relates to buildings, towers, bridges, etc. Social, cultural, and economic influences on technological products will be discussed while surveying icons of architectural engineering. [Offered: F]"
AE,104,"Mechanics 1","Newtonian mechanics. Force systems; vectors, forces, and moments; equilibrium and free body diagrams. Mechanics of simple structures. [Offered: F]"
AE,105,"Mechanics 2","Distributed forces, centroids, and moment of inertia. Introduction to foundations and fluid statics. Basic structural analysis. Plane trusses. Beam diagrams. Stress-strain-temperature relationships. Behaviour of members in tension, compression, and bending. Thin-walled pressure vessels. Friction. [Offered: S]"
AE,115,"Linear Algebra","Linear systems of equations, matrices, and determinants. Introduction to the eigenvalue problem. Applications. [Offered: F]"
AE,121,"Computational Methods","Introduction to computer programming, examples of efficient numerical algorithms for basic scientific computations. Programming and problem-solving concepts introduced in the course will be incorporated into projects involving architectural engineering applications. The language of instruction will be Matlab. [Offered: S]"
AE,123,"Electrical Circuits and Instrumentation","Charge, current, and voltage. Voltage and current sources, resistors, capacitors, and inductors. Ohm's Law, Kirchhoff's Laws, nodal analysis, instrumentation amplifier circuits, impedance. Function and characteristics of basic electrical transducers. Resolution, precision, and accuracy. Basics of data acquisition. [Note: Normally labs are held alternate weeks. Offered: AE 123 (S), CIVE 123 (W), ENVE 123 (S), GEOE 123 (S)]"
AE,125,"Structural Design Studio","Development of design and communication skills through application in projects involving various building or bridge types. The role of structure in the built environment is explored, including issues of materiality and technology. Exposure to three-dimensional (3D) modelling and model building. [Offered: S]"
AE,200,"Enclosure Design Studio","Development of design and communication expertise through studio projects involving various building enclosure types. Exposure to building enclosure materials, systems, applications, and methods of representation. Emphasis placed on critical evaluation, problem solving, and design synthesis. Introduction to industry standard three-dimensional computer-aided design (3D CAD) software. [Offered: W]"
AE,204,"Solid Mechanics 1","Three-dimensional force systems, moments, couples, and resultants. Three-dimensional equilibrium problems. Shear stresses in beams. Plastic bending. Beam deflection. Torsion of shafts and thin-walled closed sections. Shear, bending moment, and deflection diagrams for beams. Compound stress and stress transformations. Design concepts. [Offered: W]"
AE,205,"Solid Mechanics 2","Frames, arches, and suspended structures. Stress and strain transformations. Strain energy. Energy methods. Virtual work. Buckling of columns. [Offered: F]"
AE,221,"Advanced Calculus","Calculus of functions of several variables. Differentiation: partial derivatives of implicit and explicit functions, applications including optimizations. Integration: multiple integrals in various co-ordinate systems with applications; Vector calculus: vector fields, line integrals, surface integrals, and applications. Numerical integration and differentiation. [Offered: W]"
AE,223,"Differential Equations and Balance Laws","An introduction to ordinary differential equations with applications to mass and energy balance problems in engineering. Standard methods of solution of first and second order linear equations with constant coefficients. Numerical methods for solving ordinary differential equations. Partial differential equations. [Offered: F]"
AE,224,"Probability and Statistics","Role of probability in architectural engineering and decision-making under uncertainty. Basic probability concepts. Probability distributions. Functions of random variables. Data analysis. Confidence intervals and hypothesis testing. Introduction to regression analysis. Introduction to design of experiments and statistical quality control. [Offered: W]"
AE,225,"Environmental Building Systems Studio","Environmental performance of buildings studied via physical investigations, demonstrations, case studies, and design exercises with a focus on building mechanical and electrical systems and lighting. Embodied energy and life-cycle implications will be introduced. [Offered: F]"
AE,265,"Structure and Properties of Materials","A basic course in structure, behaviour, and uses of engineering materials. Topics include monotonic and cyclic stress-strain behaviour of metals, and the mechanical properties of irons, steels, copper, and aluminum. Structure and mechanical properties of wood, masonry, cements, concrete, polymers, and fiber-reinforced polymers. Fracture, fatigue, corrosion, decay, moisture, and radiation damage functions. [Note: Three lab sessions. Offered: F]"
AE,279,"Energy and the Environment","Fundamentals of thermodynamic analysis. Internal energy, enthalpy, and specific heats of solids, liquids, and gases. Energy transfer with heat, work, and mass flow. Energy balances for control-mass and control-volume systems. Heat engines, refrigerators, and heat pumps. Overview of selected renewable and non-renewable energy technologies, including photovoltaics. Environmental implications of energy use. [Offered: S]"
AE,280,"Fluid Mechanics and Thermal Sciences","An introduction to fluid mechanics and thermal sciences. Aspects of heat transfer via conduction, convection, and radiation. Fluid properties. Fluid statics. Bernoulli equation. The momentum equation and applications. Laminar and turbulent flow. Dimensionless numbers. Closed conduit flow. Pipe network analysis. Steady flow in pipes. [Note: Four lab sessions. Offered: W]"
AE,300,"Architectural Engineering Studio","Comprehensive design project of building or bridge in collaboration with the School of Architecture. Integration of structure, systems, and architecture explored with case studies. Preparation of construction drawings and specifications. [Offered: S]"
AE,301,"Building Enclosure Systems","A review of the functions of the building enclosure, and materials, systems and sub-systems used in modern building construction of new and retrofit of existing buildings. Interaction of the enclosure, mechanical systems, and structure, the importance of construction process and quality control, as well as the implications to sustainability will be considered.  [Offered: W]"
AE,303,"Structural Analysis","Analysis of statically indeterminate structures using force and displacement methods. Influence lines for determinate and indeterminate structures. Introduction to the matrix stiffness method. Computer applications using commercial structural analysis software. [Offered: S]"
AE,310,"Introduction to Structural Design","Introduction to structural systems. Systems for carrying gravity and lateral loads in buildings. Structural design concepts. Analysis and design of concrete beams and one-way slabs. Design of steel beams and tension members. Comparison of steel and concrete framing systems. [Offered: W]"
AE,315,"Building Structural Systems","A review of different structural systems and materials with a focus on constructability, sustainability, economy, and performance. Concrete, steel, wood, masonry, and polymer materials, as well as framed, hybrid, shear wall, cable stayed, tension, and inflatable systems will be covered. The selection of systems as a function of occupancy, scale, labour, economy, geography, and climate will be introduced. [Offered: W]"
AE,353,"Soil Mechanics and Foundations","An introduction to soil mechanics principles including state of stress, ground water flow, consolidation and shear strength. An introduction to design of shallow and deep foundations. Earth pressure theories and design of retaining walls. [Offered: S]"
AE,377,"Structural Timber Design","An introduction to the behaviour of wood as an engineering material and design of timber structures based on limit states design principles. Topics include materials behaviour, selection and design of structural timber members and systems, including beams, joists, columns, connections, shearwalls, and diaphragms. [Offered: S]"
AE,392,"Economics and Life Cycle Analysis","Project financing, life-cycle analysis, time value of money, sensitivity analyses, tax, financial implications of infrastructure projects, quantitative decision-making, and financial aspects of a business plan. [Offered: W]"
AE,405,"Building Performance Measurement Lab","Introduction to the techniques and utility of measuring building performance both during construction, during operation, and before retrofit. Stiffness, vibration, rain penetration, air leakage, heat flow, durability, solar control, acoustics, lighting, damage assessment, and energy consumption. [Offered: S]"
AE,450,"Building Service Systems","Heating, ventilating, cooling, filtration, plumbing, lighting, transport, data transmission, security, control, and life safety systems in buildings will be studied, in terms of function, performance, economics, construction, renovation, regulation, and sustainability. The interaction of systems, especially the environmental control systems, with the enclosures and structural systems in design and construction will be specifically considered. [Offered: S]"
AE,491,"Engineering Law and Ethics","Background (Charter of Rights and Freedoms), contracts, torts (negligent malpractice), forms of carrying on business, professional practice (Professional Engineers Act, joint practice rules, professional misconduct and sexual harassment), alternate dispute resolution, construction liens, intellectual property (patents, trade marks, copyrights and industrial designs), labour relations and employment law, environmental law. [Offered: S]"
AE,495,"Design Intensive Special Topics in Architectural Engineering","A special topics course on design intensive advanced topics in architectural engineering is offered from time to time, when resources are available. For the current offering, inquire at the Department."
AE,497,"Special Topics in Architectural Engineering","A special topics course on advanced topics in architectural engineering is offered from time to time, when resources are available. For the current offering, inquire at the Department."
AE,572,"Building Energy Analysis","Introduction to whole-building energy analysis. Energy auditing, benchmarking, and simulation. Review of relevant concepts in heat transfer and thermodynamics, including introductory psychrometrics. Interactive effects of building elements, systems, and occupant behaviour. Economic and environmental impacts of building energy use. [Offered: F, S]"
AE,573,"HVAC Systems, Equipment, and Energy Efficiency","Selected topics in HVAC systems design with focus on energy-efficiency and environmental-sustainability. Heating and cooling distribution using air-, water-, and refrigerant-based systems. Constant- and variable-flow systems. Heat- and energy-recovery systems. Vapour-compression refrigeration and heat-pump systems (including air- and geothermal-source heat pumps). [Offered: W]"
AFM,101,"Introduction to Financial Accounting","This course is an introduction to financial accounting. The preparation and use of financial statements is examined. The accounting cycle and assets and liabilities reporting, is discussed."
AFM,102,"Introduction to Managerial Accounting","This course is an introduction to the preparation and use of accounting information for management decision-making and reporting. Cost behaviour, cost accumulation systems, and short- and long-term decision models are discussed."
AFM,111,"Professional Pathways and Problem-Solving","This course assists students in developing the knowledge, skills, and values needed to manage their learning, ethical behaviour, and career path as a professional with a responsibility to society. The course also provides an opportunity to develop problem-solving, information literacy, and communication skills."
AFM,112,"Analytic Methods for Business 1","This course introduces analytical methods commonly used in business for accounting and finance professionals. The course introduces students to the cross-industry standard process for data mining as an approach to business problem recognition and solving. Students also apply emerging technologies as a means to understand concepts such as variables, data types, subsets, formulas for creating derived variables, and simple models."
AFM,113,"Analytic Methods for Business 2","This is the second in a two-course sequence that introduces analytical and statistical methods commonly used in business for accounting and finance professionals."
AFM,121,"Introduction to Global Financial Markets","This course is the first in a two-course sequence which offers an overview of global capital markets. The course describes the role of finance in the modern global economy, introduces the major classes of financial assets, and presents some basic foundational principles of financial decision-making."
AFM,123,"Accounting Information for Managers","This course is designed for non-accountants who will use accounting information for planning, control, and decision-making."
AFM,131,"Introduction to Business in North America","The functional areas of business: finance, personnel administration, production, marketing, and accounting are examined within differing organizational structures. Coverage also includes study of the principles of effective management and the financial system as a source of corporate capital."
